short	accession	organism	species_dir
scer	GCF_000146045.2	Saccharomyces cerevisiae	GCF_000146045.2
cneo	GCF_000149245.1	Cryptococcus neoformans	GCF_000149245.1
bdendro	GCF_000203795.2	Batrachochytrium dendrobatidis	GCF_000203795.2
rhizophagus	GCF_026210795.1	Rhizophagus irregularis	GCF_026210795.1
kickxella	GCF_025024165.1	Kickxella alabastrina	GCF_025024165.1
agaricus	GCA_014872705.1	Agaricus bisporus	GCA_014872705.1
calbicans	GCF_000182965.3	Candida albicans	GCF_000182965.3
ncrassa	GCF_000182925.2	Neurospora crassa	GCF_000182925.2
blastocladiella	GCA_025594325.1	Blastocladiella emersonii	GCA_025594325.1
mucor	GCF_025094135.1	Mucor mucedo	GCF_025094135.1
